Date,Close/Last,Volume,Open,High,Low
27/10/2017,$177.88,30266080,$174.15,$178.21,$173.90
26/10/2017,$170.63,11690100,$171.38,$172.29,$170.39
25/10/2017,$170.60,15861100,$171.90,$172.25,$168.89
24/10/2017,$171.80,12163060,$172.30,$173.24,$171.50
23/10/2017,$171.27,13807700,$175.20,$175.34,$171.25
20/10/2017,$174.98,12422870,$175.50,$175.88,$174.63
19/10/2017,$174.56,13873480,$174.93,$176.03,$172.63
18/10/2017,$176.03,12723070,$176.65,$176.74,$175.75
17/10/2017,$176.11,15926670,$174.71,$176.13,$174.36
16/10/2017,$174.52,11455560,$174.49,$175.00,$174.06
13/10/2017,$173.74,13601140,$173.45,$174.65,$173.20
12/10/2017,$172.55,10461960,$172.61,$173.85,$172.29
11/10/2017,$172.74,11251830,$171.95,$172.78,$171.40
10/10/2017,$171.59,11330830,$173.00,$173.20,$170.80
9/10/2017,$172.50,14552670,$172.70,$174.88,$172.00
6/10/2017,$172.23,12711640,$170.25,$172.37,$169.75
5/10/2017,$171.24,14453310,$169.18,$171.31,$168.60
4/10/2017,$168.42,11926980,$169.83,$170.67,$168.29
3/10/2017,$169.96,8177141,$169.30,$170.73,$169.20
2/10/2017,$169.47,13350740,$171.39,$171.87,$168.75
29/09/2017,$170.87,15274870,$168.83,$171.66,$168.81
28/09/2017,$168.73,12157690,$167.94,$169.07,$167.16
27/09/2017,$167.68,19131680,$165.90,$168.34,$165.57
26/09/2017,$164.21,23083780,$164.50,$165.50,$162.78
25/09/2017,$162.87,41207930,$169.24,$169.30,$161.56
22/09/2017,$170.54,12040370,$170.21,$171.73,$169.22
21/09/2017,$171.11,11088960,$171.69,$172.27,$170.01
20/09/2017,$172.17,12226570,$172.50,$173.05,$170.70
19/09/2017,$172.52,13021560,$170.62,$172.56,$170.36
18/09/2017,$170.01,12898300,$171.99,$172.07,$169.34
15/09/2017,$171.64,15643240,$170.88,$172.34,$170.26
14/09/2017,$170.96,15564130,$172.26,$172.28,$170.50
13/09/2017,$173.05,9112378,$173.01,$173.17,$172.06
12/09/2017,$172.96,11179730,$173.76,$174.00,$171.75
11/09/2017,$173.51,12353760,$172.40,$173.89,$172.20
8/09/2017,$170.95,10985350,$173.09,$173.49,$170.80
7/09/2017,$173.21,18039640,$171.94,$173.31,$170.27
6/09/2017,$172.09,13886740,$170.91,$172.48,$169.57
5/09/2017,$170.72,13214940,$171.27,$172.39,$169.55
1/09/2017,$172.02,11663360,$172.40,$172.92,$171.31
31/08/2017,$171.97,17216280,$170.40,$172.15,$170.06
30/08/2017,$169.92,11117630,$168.17,$170.18,$167.63
29/08/2017,$168.05,11111780,$165.25,$168.43,$165.00
28/08/2017,$167.24,8477431,$166.91,$167.70,$166.33
25/08/2017,$166.32,12589850,$167.86,$168.38,$166.18
24/08/2017,$167.74,14015950,$168.88,$169.29,$166.41
23/08/2017,$168.71,9838383,$168.84,$169.36,$168.20
22/08/2017,$169.64,11377350,$168.28,$169.87,$167.15
21/08/2017,$167.78,11898620,$167.16,$168.00,$165.82
18/08/2017,$167.41,15065590,$166.84,$168.67,$166.21
17/08/2017,$166.91,17009420,$169.34,$169.86,$166.85
16/08/2017,$170.00,15732840,$171.25,$171.38,$169.24
15/08/2017,$171.00,8713651,$171.49,$171.50,$170.01
14/08/2017,$170.75,12940140,$170.09,$171.08,$169.29
11/08/2017,$168.08,13778190,$167.95,$168.82,$166.85
10/08/2017,$167.40,20551720,$170.06,$170.59,$166.85
9/08/2017,$171.18,10800730,$169.98,$171.45,$169.56
8/08/2017,$171.23,14317200,$171.88,$173.05,$170.62
7/08/2017,$171.98,12765230,$169.95,$172.06,$169.66
4/08/2017,$169.62,10505980,$168.97,$170.06,$168.69
3/08/2017,$168.59,10519470,$169.30,$169.70,$168.25
2/08/2017,$169.30,17181110,$170.30,$170.55,$166.91
1/08/2017,$169.86,14286110,$169.82,$170.47,$169.05
31/07/2017,$169.25,25429310,$172.00,$172.72,$168.55
28/07/2017,$172.45,24546680,$169.07,$173.43,$169.05
27/07/2017,$170.44,68454830,$174.70,$175.49,$167.50
26/07/2017,$165.61,32989200,$166.01,$166.01,$164.10
25/07/2017,$165.28,15309000,$165.01,$165.54,$163.86
24/07/2017,$166.00,17208500,$164.64,$166.17,$164.31
21/07/2017,$164.43,14712450,$164.16,$165.05,$163.75
20/07/2017,$164.53,18409730,$164.80,$165.00,$162.81
19/07/2017,$164.14,26144510,$163.59,$165.70,$163.17
18/07/2017,$162.86,23686800,$159.66,$163.73,$159.42
17/07/2017,$159.73,12757430,$160.25,$160.78,$158.81
14/07/2017,$159.97,16305570,$160.13,$160.32,$159.33
13/07/2017,$159.26,13912150,$158.74,$159.78,$158.42
12/07/2017,$158.90,22710090,$156.49,$159.16,$156.20
11/07/2017,$155.27,13652540,$153.37,$155.42,$152.91
10/07/2017,$153.50,13326410,$151.69,$153.98,$151.51
7/07/2017,$151.44,13249750,$149.25,$151.99,$149.19
6/07/2017,$148.82,14934450,$149.03,$150.04,$148.00
5/07/2017,$150.34,14321330,$149.00,$150.85,$148.13
3/07/2017,$148.43,13862740,$151.72,$152.15,$147.80
30/06/2017,$150.98,14909670,$151.90,$151.92,$150.06
29/06/2017,$151.04,23948630,$152.28,$152.50,$148.92
28/06/2017,$153.24,16696230,$150.92,$153.47,$149.86
27/06/2017,$150.58,19351560,$152.84,$153.31,$150.39
26/06/2017,$153.59,18030200,$156.25,$156.50,$153.20
23/06/2017,$155.07,17897280,$152.72,$155.20,$152.65
22/06/2017,$153.40,12835380,$153.01,$154.55,$152.91
21/06/2017,$153.91,14943770,$152.36,$154.08,$151.88
20/06/2017,$152.25,14733590,$152.88,$153.84,$152.21
19/06/2017,$152.87,18944190,$151.71,$153.57,$151.71
16/06/2017,$150.64,22843010,$149.59,$150.83,$148.60
15/06/2017,$149.80,18956910,$147.67,$150.04,$146.37
14/06/2017,$150.25,20774910,$151.26,$152.40,$149.05
13/06/2017,$150.68,20474720,$150.15,$151.18,$148.90
